"1","2003-06-24","""""cacheserverreport for"""" """"This analysis was produced by calamaris""""","These are squid server cache reports. Fairly benign, really except when you consider using them for evil purposes. For example, an institution stands up a proxy server for their internal users to get to the outside world. Then, the internal user surf all over to their hearts content (including intranet pages cuz well, the admins are stupid) Voila, intranet links show up in the external cache report. Want to make matters worse for yourself as an admin? OK, configure your external proxy server as a trusted internal host. Load up your web browser, set your proxy as their proxy and surf your way into their intranet. Not that I've noticed any examples of this in this google list. *COUGH* *COUGH* *COUGH*  unresolved DNS lookups give clues *COUGH* *COUGH* ('scuse me. must be a furball) OK, lets say BEST CASE scenario. Let's say there's not security problems revealed in these logs. Best case scenario is that outsiders can see what your company/agency/workers are surfing."
"2","2003-06-24","intitle:""""Ganglia"""" """"Cluster Report for""""","These are server cluster reports, great for info gathering. Lesse, what were those server names again?"
"3","2003-06-24","intitle:""""Index of"""" dbconvert.exe chats","ICQ (http://www.icq.com) allows you to store the contents of your online chats into a file. These folks have their entire ICQ directories online. On purpose?"
"4","2003-06-24","intitle:""""Apache HTTP Server"""" intitle:""""documentation""""","When you install the Apache web server, you get a nice set of online documentation. When you learn how to use Apache, your supposed to delete these online Apache manuals. These sites didn't. If they're in such a hurry with Apache installs, I wonder what else they rushed through?"
"5","2003-06-24","""""Error Diagnostic Information"""" intitle:""""Error Occurred While""""","These aren't too horribly bad, but there are SO MANY of them. These sites got googlebotted while the site was having """"technical difficulties."""" The resulting cached error message gives lots of juicy tidbits about the target site."
"6","2003-06-24","intitle:""""Index of"""" finance.xls","""""Hey! I have a great idea! Let's put our finances on our website in a secret directory so we can get to it whenever we need to!"""""
"7","2003-06-24","intitle:index.of finances.xls","""""Hey! I have a great idea! Let's put our finances on our website in a secret directory so we can get to it whenever we need to!"""""
"8","2003-06-24","""""# Dumping data for table""""","sQL database dumps. LOTS of data in these. So much data, infact, I'm pressed to think of what else an ev1l hax0r would like to know about a target database.. What's that? Usernames and passwords you say? Patience, grasshopper....."
"9","2003-06-24","intitle:index.of .bash_history","Ok, this file contains what a user typed at a shell command prompt. You shouldn't advertise this file. You shouldn't flash it to a web crawler. It contains COMMANDS and USERNAMES and stuff... *sigh* Sometimes there aren't words to describe how lame people can be. This particular theme can be carried further to find all sorts of things along these lines like .profile, .login, .logout files, etc. I just got bored with all the combinations..."
"10","2003-06-24","intitle:index.of .sh_history","Ok, this file contains what a user typed at a shell command prompt. You shouldn't advertise this file. You shouldn't flash it to a web crawler. It contains COMMANDS and USERNAMES and stuff... *sigh* Sometimes there aren't words to describe how lame people can be. This particular theme can be carried further to find all sorts of things along these lines like .profile, .login, .logout files, etc. I just got bored with all the combinations..."
"11","2003-06-24","intitle:""""Index of"""" .mysql_history","The .mysql_history file contains commands that were performed against a mysql database. A """"history"""" of said commands. First, you shouldn't show this file to anyone, especially not a MAJOR SEARCH ENGINE! Secondly, I sure hope you wouldn't type anything sensitive while interacting with your databases, like oh say USERNAMES AND PASSWORDS..."
"12","2003-06-24","intitle:index.of mt-db-pass.cgi","These folks had the technical prowess to unpack the movable type files, but couldn't manage to set up their web servers properly. Check the mt.cfg files for interesting stuffs..."
"13","2003-06-24","intitle:""""Welcome to Windows 2000 Internet Services""""","At first glance, this search reveals even more examples of operating system users enabling the operating system default web server software. This is generally accepted to be a Bad Idea(TM) as mentioned in the previous example. However, the googleDork index on this particular category gets quite a boost from the fact that this particular screen should NEVER be seen by the general public. To quote the default index screen: """"Any users attempting to connect to this site are currently receiving an 'Under Construction page'"""" THIS is not the 'Under Construction page.' I was only able to generate this screen while sitting at the console of the server. The fact that this screen is revealed to the general public may indicate a misconfiguration of a much more insidious nature..."
"14","2003-06-24","intitle:""""Welcome to IIS 4.0""""","Moving from personal, lightweight web servers into more production-ready software, we find that even administrators of Microsoft's Internet Information Server (IIS) sometimes don't have a clue what they're doing. By searching on web pages with titles of """"Welcome to IIS 4.0"""" we find that even if they've taken the time to change their main page, some dorks forget to change the titles of their default-installed web pages. This is an indicator that their web server is most likely running, or was upgraded from, the now considered OLD IIS 4.0 and that at least portions of their main pages are still exactly the same as they were out of the box. Conclusion? The rest of the factory-installed stuff is most likely lingering around on these servers as well. Old code: FREE with operating system.Poor content management: an average of $40/hour. Factory-installed default scripts: FREE with operating system.Getting hacked by a script kiddie that found you on Google: PRICELESS.For all the things money can't buy, there's a googleDork award."
"15","2003-06-24","""""Index of /backup""""","Backup directories are often very interesting places to explore. More than one server has been compromised by a hacker's discovery of sensitive information contained in backup files or directories. Some of the sites in this search meant to reveal the contents of their backup directories, others did not. Think about it. What.s in YOUR backup directories? Would you care to share the contents with the whole of the online world? Probably not. Whether intentional or not, bsp.gsa.gov reveals backup directory through Google. Is this simply yet another misconfigured .gov site? You decide. BSP stands for """"best security practices,"""" winning this site the Top GoogleDork award for this category."
"16","2003-06-24","""""powered by openbsd"""" +""""powered by apache""""","I like the OpenBSD operating system. I really do. And I like the Apache web server software. Honestly. I admire the mettle of administrators who take the time to run quality, secure software. The problem is that you never know when security problems will pop up. A BIG security problem popped up within the OpenBSD/Apache combo back in the day.Now, every administrator that advertised this particular combo with cute little banners has a problem. Hackers can find them with Google. I go easy on these folks since the odds are they.ve patched their sites already. Then again, they may just show up on zone-h.."
"17","2003-06-24","intitle:index.of intext:""""secring.skr""""|""""secring.pgp""""|""""secring.bak""""","PGP is a great encryption technology. It keeps secrets safe. Everyone from drug lords to the head of the DEA can download PGP to encrypt their sensitive documents. Everyone, that is except googleDorks. GoogleDorks, it seems, don't understand that anyone in possession of your private keyring (secring) can get to your secret stuff. It should noever be given out, and should certainly not be posted on the Internet. The highest ranking is awarded for this surprising level of ineptitude."
"18","2003-06-24","intitle:index.of people.lst","*sigh*"
"19","2003-06-24","intitle:index.of passwd passwd.bak","There's nothing that defines a googleDork more than getting your PASSWORDS grabbed by Google for the world to see. Truly the epitome of a googleDork. The hits in this search show """"passwd"""" files which contain encrypted passwords which may look like this: """"guest MMCHhvZ6ODgFo"""" A password cracker can eat cheesy hashes faster than Elvis eatin' jelly doughnuts. Bravo googleDorks! Good show!"
"20","2003-06-24","intitle:index.of master.passwd","There's nothing that defines a googleDork more than getting your PASSWORDS grabbed by Google for the world to see. Truly the epitome of a googleDork. The hits in this search show """"master.passwd"""" files which contain encrypted passwords which may look like this: """"guest MMCHhvZ6ODgFo"""" A password cracker can eat cheesy hashes faster than Elvis eatin' jelly doughnuts. Bravo googleDorks! Good show!For master.passwd, be sure to check other files in the same directory..."
"21","2003-06-24","intitle:""""Index of"""" pwd.db","There's nothing that defines a googleDork more than getting your PASSWORDS grabbed by Google for the world to see. Truly the epitome of a googleDork. The his in this search show """"pwd.db"""" files which contain encrypted passwords which may look like this: """"guest MMCHhvZ6ODgFo"""" A password cracker can eat cheesy hashes faster than Elvis eatin' jelly doughnuts. Bravo googleDorks! Good show!"
"22","2003-06-24","intitle:""""Index of"""" """".htpasswd"""" htpasswd.bak","There's nothing that defines a googleDork more than getting your PASSWORDS grabbed by Google for the world to see. Truly the epitome of a googleDork. And what if the passwords are hashed? A password cracker can eat cheesy password hashes faster than Elvis eatin' jelly doughnuts. Bravo googleDorks! Good show!"
